title,text,subject,date
: Parte de la ciudad de Tarija está sin servicio de agua potable,"Diferentes cadenas con el mismo mensaje estuvieron circulando en esta red, pero con la particularidad que el nombre de los barrios iba cambiando en cada una de ellas.,Por eso, te explicamos dónde encontrar información fidedigna para el abastecimiento en tu zona.,“¿Qué hacer? Hay que lavarse varias veces las manos por la COVID-19 y Tarija se quedó sin agua”, era uno de los post que aparecían en Facebook por esta situación en plena pandemia por coronavirus.,Lo real es que el puente San Martín, uno de los más antiguos de la ciudad de Tarija, sufrió un colapso en su estructura, cediendo un soporte que derivó en la rotura de una de las tuberías de agua potable.,La ruptura fue de una tubería de 16 pulgadas que abastece el principal tanque de almacenamiento de la zona de La Loma, ocasionando el corte del servicio en diferentes barrios de esta capital.,La Cooperativa de Servicios de Agua y Alcantarillado de Tarija (Cosaalt), emitió un comunicado donde nombra los barrios afectados.  Además, emitió un cronograma oficial para la distribución de agua en cisternas en los barrios afectados en su página en Facebook.,Para la dotación de agua en tu barrio trata de orientarte en los cronogramas oficiales y no en aquellos que circulan en cadenas por las redes sociales que pueden resultar engañosos.",Bolivian News,01/07/2020
Hackearon página de Sobodaycom,"La Sociedad Boliviana de Autores y Compositores (SOBODAYCOM) se ubicó en el ojo de la tormenta luego de publicar un tarifario general de Derechos de Autor para el cobro por la realización de conciertos por internet. La medida fue finalmente retirada luego de desatar duras críticas por parte de los sectores artísticos. Desde entonces, hay una fuerte campaña en redes sociales que cuestiona el rol de la asociación.",Bolivian News,02/07/2020
Asociación de taxis en Cochabamba sí pide un sueldo para todos los habitantes del país,"En el pronunciamiento, se exige la presencia de la ministra de Salud, Eidy Roca Justiniano, en la ciudad de Cochabamba “en un plazo no mayor a 48 horas”.,El último punto de este pronunciamiento “pide la otorgación de un salario mínimo nacional al total de los habitantes  del Estado, mientras dure la cuarentena”.,Además está el pedido de la autorización y uso de medicina alternativa, “previo estudio científico y técnico”. Dentro de este punto citan el dióxido de cloro y la ivermectina.,El citado pronunciamiento circula también en cadena por grupos de WhatsApp.,Suena avezado el pedido, si se toma en cuenta que de cumplirse debería entregarse este beneficio a más de once millones de personas, pero sí es real., logró contactarse con el presidente de la Asociación de Radio Móviles Cochabamba (Aramco), Mauricio Leoni, quien confirmó que este pronunciamiento fue publicado hoy, “ante la emergencia que se vive”.,“Es el sentir de mi sector”, responde el dirigente a , al indicar que presentaron “varias notas” al Gobierno Nacional para una reactivación de la economía sin recibir respuesta alguna.,Recordó que en Cochabamba su sector está acatando la cuarentena rígida, situación que los deja en un estado de incertidumbre, pues viven del día.,“Ya hemos pedido créditos de reactivación, nunca hemos tenido respuesta; sin embargo, se ha dado a conocer que no somos pasivos a este gobierno”, advierte.,Leoni indica que la cuarentena rígida en Cochabamba fue determinada “sin tomar en cuenta planes de contingencia”.,La región metropolitana de Cochabamba retornó a una cuarentena rígida desde el 24 de junio hasta el 5 de julio, debido al incremento de casos por coronavirus COVID-19.",Bolivian News,02/07/2020
Información sobre intervención al Museo de Arqueología es cierta,"El Personal, de la Unidad de Arqueología y Museos (UDAM) dependiente de lo que fue el Viceministerio de Interculturalidad, envió una carta notariada al ministro de Educación, Víctor Hugo Cárdenas, ante la “situación de emergencia” que declararon los funcionarios de esa cartera.,Más allá de la pérdida laboral de los funcionarios, ellos alertaron sobre la situación del Museo Nacional de Arqueología (MUNARQ), narraron que la Policía llegó el 1 de julio y sin previo aviso los desalojó y cerró las puertas del repositorio, sin tomar en cuenta las necesidades del sitio, y la dinámica operativa que se desarrollaba, ya con dificultades por el recorte de personal.,Los funcionarios acordaron no dar nombres a los periodistas ya que tienen la esperanza de dialogar con Cárdenas.,“Nos desalojaron, el Jefe de Policía dijo que no entendía qué hacían los ex funcionarios de facto ahí y que a partir de la fecha nadie entra ni sale”, dijo una de las personas que presenció el desalojo., intentó contactarse con el Ministro de Educación y solo logró que a través de su Unidad de Comunicación se afirme que lo que circula en redes es FALSO, sin dar mayor argumento, pese a que el hecho ya fue difundido por Pagina Siete., se contactó con Carlos Lemus, antropólogo, integrante de la Sociedad de Antropología de La Paz, quien explicó que “como parte de la transferencia han paralizado todas las acciones relacionadas a la protección de patrimonio, decidieron cerrar la Unidad de Arqueología, previamente nombraron a un pastor evangélico que desconoce los temas arqueológicos.,Ahora con el cierre del Museo Nacional de Arqueología que guarda piezas de enorme valor, de los distintos periodos de las culturas ancestrales, además documentos que provienen de investigaciones millonarias que se hicieron en Tiwanaku y otras, todo está en riesgo de perderse porque no se hizo auditoría entre unas autoridades y otras y al final ninguno tiene responsabilidad, no se sabe qué se ha transferido, no hay inventario”. Dijo,La Sociedad de Antropología de La Paz hizo, a través de su web, publicaciones en defensa del patrimonio del MUNARQ y actualmente un pronunciamiento sobre lo ocurrido.,Lemus acotó que transferir un repositorio se hace de manera gradual “pero la intervención ha sido intempestiva, no es una transferencia gradual, no hay director del Museo, hay apenas un técnico porque hicieron desaparecer los ítems, los han movido a otras reparticiones”,,Sobre los cuidados especiales que se debe tener para un Museo como el de Arqueología, Lemus dijo “Hay material orgánico que debe recibir un monitoreo permanente de temperatura, humedad, momias que están en refrigeradores, hay madera, material orgánico que debe ser controlado permanentemente y todo eso corre el riesgo de dañarse”., recibió además otro pronunciamiento, el del Comité Boliviano del ICOM (Consejo Internacional de Museos) que expresó,“El ICOM se halla altamente preocupado por la situación de vulnerabilidad en que se encuentra el valioso Patrimonio Cultural del país debido a la evolución y los recientes acontecimientos de reorganización del Estado y desaparición del Ministerio de Culturas y Turismo.,Por lo que nos adherimos al Pronunciamiento emitido por la Sociedad de Arqueología de La Paz, en busca de una respuesta y pronta solución a la intervención del Museo Nacional de Arqueología y al desalojo de profesionales y técnicos especializados que velan por el mantenimiento, cuidado y protección del invalorable patrimonio que custodia este museo.,Considerando que el país es signatario de numerosas Convenciones sobre Protección y cuidado del Patrimonio material e inmaterial y al amparo de la Ley 530 del Patrimonio Cultural de Bolivia, es deber del Estado proteger y velar por el rico y diverso patrimonio nacional, delegando esta responsabilidad a especialistas del área.,Nos adherimos también al movimiento de la sociedad civil que reclama por la preservación y conservación del patrimonio que custodia el Museo Nacional de Arqueología” (sic),El MUNARQ es también el “primer museo de Sudamérica” que inició su funcionamiento en 1838 durante el gobierno del mariscal Andrés de Santa Cruz, entonces con un muestrario importante sobre las riquezas mineras y la flora y fauna del país.",Bolivian News,02/07/2020
"A través de pronunciamientos, ciudadanos piden suspender elecciones e invitan a cabildos digitales","En redes circulan dos pronunciamientos de la mencionada institución que convoca a reunirse de manera on-line sin especificar vía, cuenta email y horario,Se trata de la Escuela por la Democracia -Formación de Líderes Emergentes con el apoyo del Centro de Innovación del Pensamiento Político, ambas instituciones se encuentran en la ciudad de Santa Cruz de la Sierra.,Limdberg Ulloa, integrante de la Escuela le comentó a  que los interesados acceden a esas reuniones vía invitación una vez que se contacten por el número de celular que se encuentra en la cuenta en Facebook de la Escuela, la misma fue creada en junio del pasado año, El Centro de Formación en cambio se creó en 2017 y de acuerdo a Ulloa tiene alcance nacional.,En la cuenta en Facebook de la Escuela por la Democracia se observa imágenes de encuentros con candidatos de la Alianza política de Luis Fernando Camacho y Marco Pumari, Creemos, incluso fotografías del logo de Creemos, el mismo directorio de la escuela hace uso de camisetas con el mismo logo, lo que puede dar lugar a que los internautas crean que la escuela es parte de esa alianza.,Sin embargo, Ulloa aclaró a , que las imágenes están relacionadas a cursos y capacitaciones realizadas no solo con esa agrupación política sino con varias.,“La escuela no es parte de la alianza Creemos, tenemos varios eventos con varias de las organizaciones políticas”, remarcó.,¿Quiénes integran la Escuela?,,“Somos profesionales, docentes y analistas políticos, hemos formado esta escuela con el propósito de apoyar la formación de liderazgos emergentes sin límite de edad, líderes que deseen participar en actividad no solo política, sino social, académica y nos hemos aliado a instituciones como el Centro de Innovación del pensamiento político”, dijo.,Sobre el pronunciamiento y la organización de las actividades, Ulloa explicó,“La única forma de expresar nuestro desacuerdo con las elecciones se da a través de cabildos es lo que te permite la Constitución y como no es posible realizar cabildos presenciales en este momento, hay una contradicción ¿no? Estamos pretendiendo que por la salud y la vida no exista elecciones en septiembre, sería contradictorio que nosotros convoquemos a un cabildo cuando no queremos que se reúna la gente; entonces queremos hacerlo de manera virtual, se está trabajando en la logística y en el respaldo tecnológico para que pueda surtir el efecto a nivel nacional”, informó.,Quien quiera participar en las actividades de la iniciativa puede buscarlos a través de la cuenta en Facebook Escuela por la Democracia -Formación de Líderes Emergentes.,ja",Bolivian News,12/07/2020
Migración implementará un sistema georreferenciado para extranjeros,"Marcel Rivas, director de Migración, explicó en contacto con  que actualmente se tienen las cifras de ciudadanos extranjeros que han ingresado a Bolivia, se cuenta con la información de dónde están (porque la proporcionan en un formulario migratorio) pero no se tiene graficado visualmente en un mapa. “Sabemos que entró X cantidad por Pisiga, por ejemplo, pero no tenemos visualizado en qué municipio o departamento está. El sistema de georreferenciación será la visualización pública a través de puntos en el mapa”, dijo Rivas.,Es decir, dentro de poco, se podrá observar públicamente en el portal de migración, puntos o manchas de población migrante ubicada en alguna parte del territorio nacional.,Esta información que hasta ahora no es pública se podrá consultar a través de internet. Si un ciudadano viene de Brasil e ingresa por Viru Viru pero su destino final es un hotel en Cochabamba, deberá llenar el formulario con su ubicación específica y esto, se transformará inmediatamente en un punto en el sistema de georreferenciación de migración.,Rivas admite que no hay posibilidad de control porque “no se inserta un chip” para monitorear ubicación. Sin embargo, considera que la información cruzada permite detectar si hay movimiento. Por ejemplo, cuando se realiza el trámite de ampliación de permanencia en el país, el ciudadano debe brindar su dirección actualizada.,Rivas señala que la información que se solicitará al migrante es exactamente la que se solicita actualmente a través de los formularios migratorios, la diferencia es que ahora se visualizará a través de un punto en el mapa la ubicación a donde se dirigirá y será de acceso público. Añade que no se divulgará el nombre ni los datos privados, solamente se observará un punto en el espacio territorial de destino.,El director asegura que esto  servirá para “la seguridad, para trabajar políticas públicas y para la implementación estratégica servicios (museos, restaurantes y hoteles)”.,Con respecto al control de fronteras, el convenio prevee el monitoreo con imágenes satelitales de alta resolución conectadas a los sistemas de la NASA y de la Unión Europea. Se podrá detectar a través de ello, si hay ingreso por puntos no autorizados. Esto contribuirá en la lucha contra el narcotráfico y la trata y tráfico de personas, explicó Rivas.",Bolivian News,28/07/2020
Largas filas y aglomeraciones para comprar una garrafa de gas ¿a qué se debe?," se contactó con Roció Quispe y Karen Laura, ambas son vecinas del lugar. Ellas aseguran que las filas para comprar GLP se registraron desde el 25 de julio del 2020 y que no se respeta el distanciamiento por temor a perder el puesto que se logra ocupar después de varias horas de espera.,,Héctor Choque se trasladó, el 28 de julio del 2020, hasta Senkata para comprar una garrafa aseguró que ya se comienza a repartir el gas, pero de poco en poco. La escasez del GLP, en la ciudad de El Alto, también fue reflejada por los medios de comunicación “VOS TV”, “Radio San Gabriel” y “Palenque TV”.,El Ministerio de Hidrocarburos, el 28 de julio del 2020 a las 0859, a través de su cuenta en Facebook emitió un comunicado en el que informan que la producción diaria de engarrafado es de 45.000 unidades. La misma, habría descendido debido a que algunos operarios de la planta dieron positivo a COVID-19.,Según el aviso, las instalaciones de la planta de Senkata habrían sido desinfectadas el fin de semana, los enfermos se encuentran aislados y el abastecimiento de GLP se regularizaría de manera paulatina en las ciudades de La Paz y El Alto.,El 27 de julio del 2020, la Agencia Nacional de Hidrocarburos (ANH), a través de un comunicado, también informó que hubo contagio masivo de coronavirus en los operadores responsables del engarrafamiento en la planta de Senkata. Asimismo, se comprometieron a tomar acciones posibles para regular el abastecimiento del GLP.,",Bolivian News,28/07/2020
Twitter elimina un video de Donald Trump sobre coronavirus,"La grabación también se retiró de la cuenta de Trump en Facebook.,No es la primera vez que las redes sociales frenan las publicaciones de Trump o las etiquetan con advertencias que cuestionan sus contenidos.,Las redes sociales son un elemento clave en la vida política del presidente de Estados Unidos, donde acumula millones de seguidores. Sin embargo, en varias ocasiones el  contenido de sus mensajes han sido cuestionados por racistas y violentos, y luego censurados.,En mayo de 2020, Trump firmó una orden para regular la actividad de las redes sociales e invitó a los ciudadanos estadounidenses a subscribirse a una plataforma de denuncias y quejas contra la censura.,Pese a la decisión tomada por el presidente, las redes haciendo prevalecer sus políticas de censura sobre los mensajes violentos de Trump. Esta vez, no solo fue eliminada la publicación del presidente, sino también la de su hijo Trump Jr. quien compartió el video clip sobre las propiedades positivas de la hidroxicloroquina contra el COVID-19.,Trump no se rinde y ha solicitado a la Administración Nacional de Telecomunicaciones e Información que presenten una petición para analizar cómo las empresas de medios sociales moderan el contenido.,Las reglas para publicar en esa red social se resumen a lo siguiente,No puedes hacer amenazas violentas contra una persona o un grupo de personas. También prohibimos la glorificación de la violencia.,No puedes amenazar o fomentar el terrorismo o el extremismo violento.,Tenemos una política de tolerancia cero respecto de la explotación sexual infantil en Twitter.,No puedes participar en situaciones de acoso dirigidas a una persona o incitar a otros a hacerlo.,No puedes fomentar la violencia contra otras personas ni amenazarlas o acosarlas por motivo de su raza, origen étnico, nacionalidad, pertenencia a una casta, orientación sexual, género, identidad de género, afiliación religiosa, edad, discapacidad o enfermedad grave,Está prohibido compartir, con la intención de engañar, contenido multimedia falso o alterado que pueda dar lugar a daños graves. Asimismo, es posible que etiquetemos los Tweets que incluyen contenido multimedia falso y alterado para ayudar a los usuarios a comprender su autenticidad y para ofrecer más cono. Entre otras reglas.,/ja",Bolivian News,28/07/2020
: La página web de la Gobernación de La Paz fue hackeada,"Al ingresar al portal, se identificaron seis elementos tres os y tres imágenes. Todos estos, con un comunicado denominador, protestar en contra del gobernador Felix Patzi. A simple vista se puede identificar la caricatura de Abecor que fue realizada por el periódico Página Siete el martes.,,Captura de pantalla de la imagen de Página Siete, tomó contacto con Edgar Ramos, director de Comunicación de la Gobernación de la ciudad de La Paz, quien afirmó que esto paso dos veces durante la mencionada jornada. La primera vez fue antes de medio día, aproximadamente a las 1130 de la mañana, pero los hackers no lograron acceder a la página. La segunda vez  fue al finalizar la tarde, aproximadamente a las 1840, cuando intervinieron ilegalmente a la web (de la Gobernación) desde una computadora externa.,“Nosotros sospechamos que esta intervención ha sido por parte de los guerreros digitales del gobierno de transición, que realmente están muy activos promocionando a la Presidenta”, manifestó el director de Comunicación.,Posiblemente, esto se debería a que la institución no se encuentra de acuerdo con implementar una cuarentena rígida, por lo que sostienen su posición al no ser una opción viable en el país. También añadió, que debido a esta postura se busca acallar a este organismo, mediante el sistema web.,Además, Ramos explicó que durante la intervención hicieron aparecieron tres componentes página web,Durante el tiempo que la página fue hackeada, se perjudicó a otras cuatro páginas de la Gobernación de La Paz. Una se utiliza como servidor para atender los trámites de personería jurídica. Dos, el sitio web de Radio Líder, que tuvo que paralizar su emisión a las 1845. También se tuvo que cortar el sistema de correspondencia, entre otros.,Esta situación ha sido de mucho perjuicio. El hackeo causado a la página web de la Gobernación también afectó a otros servidores dependientes de esta.",Bolivian News,30/07/2020
Alfredo Rada fue detenido en México pero la Fiscalía no registró el caso,"El hecho salió a la luz a raíz de una publicación que hizo un periodista mexicano quien develó que la exautoridad supuestamente hurtó dos botellas de champú y fue interceptado por oficiales de Seguridad Ciudadana quienes fueron alertados sobre el hecho.,Rada fue trasladado al Ministerio Público de la Ciudad de México donde, según Carlos Jiménez, periodista que reveló el caso a través de Twitter, se abrió un expediente por el robo de dos botellas de champú, valuadas en 97 pesos mexicanos (30 bolivianos).,Desde  contactamos a Alejandro Omaña, subdirector de información de la Fiscalía General de la Ciudad de México quien aseguró que no había reporte alguno sobre el hecho. “Hemos estado revisando en las oficinas de la Fiscalía, en los archivos y no hay nada de esto”, afirmó a  vía teléfono.,Escucha el audio aquí,,,El periódico digital Animal Político, se contactó también con la Fiscalía a petición de  y confirmó que Rada fue conducido a las oficinas del Ministerio Público pero fue liberado horas después. Sin embargo, desde esta instancia no se ha aclarado que fue lo que pasó.,El periodista que reveló el incidente explicó a medios bolivianos que el delito por el cual el exministro de la gestión de Evo Morales es denunciado no representa encarcelamiento, debido a que “no hubo violencia” al momento del hecho.,Contactamos a Tania Aguilar, encargada de prensa de la Secretaría de Seguridad de la Ciudad de México quien aseguro que su institución no tiene información sobre el suceso. Del mismo modo, Liliana Ávalos, gerente de comunicación corporativa de Walmart señaló que la sucursal no elevó reporte alguno sobre el caso consultado.,Por su parte, Rada concedió una entrevista al periodista Junior Arias, conductor del programa “Detrás de la Verdad”, en la que afirmó que todo fue “un malentendido” y desmintió estar aprehendido. Sin embargo, no aclaró que fue lo que sucedió. Sus familiares explicaron al diario El País que él pensó que su esposa pagaría los productos.,,",Bolivian News,30/07/2020
